addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,amenity.1,brand.1,check_date,cuisine.1,name.1,opening_hours.1,shop.1,meal,Micheline,category,Service,room_facilities,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
,,,,,hard rock cafe,,hard rock cafe,this be close to or right next to the holland casino also close to the leidseplein great service great food and plenty of drink,52.36203,,,,,,,hard rock cafe,,,max euweplein 61,,,,american,,,,,4.88304,,,,,,,,,,moth 09002400 frsa 09000100,drink,31 20 523 76 25,restaurant,,,httpswwwhardrockcafecomlocationamsterdam,restaurant,hard rock cafe,,american,hard rock cafe,moth 09002400 frsa 09000100,,,no,,,,cocktail,,casual,,,,,,,,,,,,
,,,,,maloe melo,,,small blue bar which be separate in two part a free part in the front €5 entrance fee in the back where blue or rock n roll band play live every night of the week,52.37005,,,,,,,,,,lijnbaansgracht 163,,,,,,,,,4.87771,,sunthu 3 be frisat 4 be,,,,httpwwwmaloemelocom,,,,,drink,,,,,,,,,,,,,,no,,,,beer,blue,intimate,,,,,,,,,,,,
,,,,,mulligan irish music bar,,,the old irish bar in amsterdam mulligan have live music most night this be where the traditional music crowd gather,52.36698,,,,,,,,,,amstel 100,,,,,,,,,4.89684,,,,,,httpwwwmulligansnl,,,,,drink,,,,,,,,,,,,,,no,,,,beer,folk,casual,,,,,,,,,,,,
,,,,,lopera,,,a friendly spot for coffee a beer or something strong you may at first only notice the outside seat and the enclose terrace but there be also an elegant usually quieter indoor area food too but you dont see many eater,52.36644,,,,,,,,,,rembrandtplein 2729,,,,,,,,,4.8975,,,,,,httpwwwloperanl,,,,,drink,31 20 620 47 54,,,,,,,,,,,,,no,,,,coffee,,chic,,,,,,,,,,,,
,,,,,whisky cafe lb,,,if you like whisky this small laidback and friendly cafe be the ideal place to visit many unusual whisky from independent bottler and close distillery be available the menu stretch along one wall and be about 2 meter in height the cafe have have 1001 whisky available since they open just be warn the stair to the toilet be pretty steep,52.36271,,,,,,,,,,korte leidsedwarsstraat 8284,,,,,,,,,4.88538,,,,,,httpwhiskyproeverijennl,,,,,drink,31 6 245 541 62,,,,,,,,,,,,,no,,,,whisky,,intimate,,,,,,,,,,,,
,,,,,air,,,,,,,,,,,,,,amstelstraat 16,,,,,,,,,,,,,,,httpwwwairnl,,,,,drink,,,,,,,,,,,,,,no,,,,cocktail,indie,intimate,,,,,,,,,,,,
,,,,,chicago social club,,,amsterdam nightlife king casper reinders join with the founder of bitterzoet and the owner of boom chicago to bring quality club to the leidspelein,,,,,,,,,,,leidseplein 12,,,,,,,,,,,,,,,httpwwwchicagosocialclubnl,,,,,drink,,,,,,,,,,,,,,no,,,,cocktail,electronic,chic,,,,,,,,,,,,
,,,,,club home,,,,,,,,,,,,,,wagenstraat 7,,,,,,,,,,,,,,,httpwwwclubhomenl,,,,,drink,,,,,,,,,,,,,,no,,,,beer,,no,,,,,,,,,,,,
,,,,,escape,,,a large fairly uninspiring nightclub that mostly play mainstream house music the first hall be large and attracts the more or less wannabe hip people of the city although the crowd be diverse the second hall upstairs have a completely different audience mostly hiphop and rb enthusiast at some event escape be split in two which mean you can use the backside entry at amstel for a different party,,,,,,,,,,,rembrandtplein 11,,,,,,,,,,,,,,,httpescapenl,,,,,drink,,,,,,,,,,,,,,no,,,,cocktail,electronic,casual,,,,,,,,,,,,
,,,,,jimmy woo,,,the most glamorous club in amsterdam offer a selection of house and rb with a spectacularly lit dance floor downstairs it be relatively small and there be table service so it feel a bit like a viproom entry policy be strict so dress sharp to get in and boy dont come alone,,,,,,,,,,,korte leidsedwarsstraat 18,,,,,,,,,,,,,,,httpwwwjimmywoocom,,,,,drink,,,,,,,,,,,,,,no,,,,cocktail,rb,chic,,,,,,,,,,,,
,,,,,melkweg,,,a former milk factory now it one of the best live venue of amsterdam it interior be not a good a paradiso but it feel more like a nightclub a the music be dancetrance orient popular among university student and young tourist it a great place to go out till the sun get up rate can vary widely and go very steep during special event,,,,,,,,,,,lijnbaansgracht 234,,,,,,,,,,,,,,,httpwwwmelkwegnl,,,,,drink,,,,,,,,,,,,,,no,,,,cocktail,electronic,casual,,,,,,,,,,,,
,,,,,paradiso,,,sometimes refer to a a nightclub it feel more like a nightly music venue and be the safest bet in town it interior be phenomenal a it be house in a former church but the main room have relatively bad acoustic it get a mixed crowd a there be plenty of room with different band perform and it isnt too crazy expensive it music straddle the line between pop and alternative much of the performance be rock but it can really be anything dont be surprised to be dance the russian troika with thousand of people on a wednesday night it get fairly packed a be obvious by the huge line on the weekend especially after 0100,,,,,,,,,,,weteringschans 6,,,,,,,,,,,,,,,httpwwwparadisonl,,,,,drink,,,,,,,,,,,,,,no,,,,beer,rock,casual,,,,,,,,,,,,
,,,,,studio 80,,,this be a somewhat more underground intimate club thats easy to miss because of it flashy neighbour it pride itself by try to stay on the forefront of electronic music in the city,,,,,,,,,,,rembrandtplein 17,,,,,,,,,,,,,,,httpwwwstudio80nl,,,,,drink,,,,,,,,,,,,,,no,,,,beer,electronic,intimate,,,,,,,,,,,,
,,,,,sugar factory,,,bit of a remarkable place that integrates art music culture theatre and nightclub into one it have a relaxed atmosphere with an eccentric artistry audience,,,,,,,,,,,lijnbaansgracht 238,,,,,,,,,,,,,,,httpwwwsugarfactorynlpagesitehome,,,,,drink,31 20 626 50 06,,,around €10,,,,,,,,,,no,,,,cocktail,indie,chic,medium,,,,,,,,,,,
,,,,,the cave rockclub,,,cozy metal bar with friendly barstaff and interest regular with live performance by tour metal band on weekend,,,,,,,,,,,prinsengracht 472,,,,,,,,,,,,,,,httpwwwthecavenl,,,,,drink,31 20 626 89 39,,,,,,,,,,,,,no,,,,beer,metal,intimate,,,,,,,,,,,,
,,,,,waterhole,,,light rockfunk jam session in a dingy but atmospheric bar with pooltables live band play every night of the week,,,,,,,,,,,korte leidsedwarsstraat 49,,,,,,,,,,,suth 3 be frisat 4 be,,,,httpwwwwaterholenl,,,,,drink,31 20 620 89 04,,,€1 entrance fee include wardrobe,,,,,,,,,,no,,,,beer,rock,casual,cheap,,,,,,,,,,,
,,,,,betty too,,,absolute gem cozy and friendly place with moderate prize and interest international crowd,,,,,,,,,,,reguliersdwarsstraat 29,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,no,,,,,,intimate,,,,,,,,,,,,
,,,,,bulldog,,,this be the original shop that use to be a police department now it turn into a chain of touristy coffeeshops bar hotel and even an energy drink,,,,,,,,,,,leidseplein 1317,,,,,,,,,,,,,,,httpwwwbulldognl,,,,,drink,,,,,,,,,,,,,,no,,,,coffee,,casual,,,,,,,,,,,,
,,,,,global chillage,,,good produce and nice tune but uncomfortable seat,,,,,,,,,,,kerkstraat 51,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,no,,,,,,casual,,,,,,,,,,,,
,,,,,grey area,,,tiny but famous for their outstanding weed especially american strain,,,,,,,,,,,oude leliestraat 2,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,no,,,,,reggae,casual,,,,,,,,,,,,
,,,,,the otherside,,,gay coffeeshop,,,,,,,,,,,reguliersdwarsstraat 6,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,,no,,,,coffee,indie,lively,,,,,,,,,,,,
,,,,,han brinker hostel,,,very light atmosphere and doesnt take itself seriously bar and downstairs club,52.36362,,,,,,,,,,kerkstraat 136138,,,,,,,,,4.88815,,,,,,httpwwwhansbrinkercom,,,,,sleep,31 20 6220687,hostel,,dorm €24 per person,,,,,,,,,,no,,,facility bar club,,,,cheap,,,,,,,,,,,
,,,,,mozart hotel,,,47 ensuite room,52.36555,,,,,,,,,,prinsengracht 518520,,,,,,,,,4.88659,,,,,,httpwwwhotelmozartnl,,,,,sleep,31 20 620 95 46,hotel,,single €50 double €60,,,,,,,,,,no,,,private bath number bed 47,,,,cheap,yes,,yes,,,,,0,,,
,,,,,hotel nicolaas witsen,,,,52.35891,,,,,,,hotel nicolaas witsen,,,nicolaas witsenstraat 48,,,,,,,,,4.89611,,,,,,httpwwwhotelnicolaaswitsennl,,,,,sleep,31 20 620 51 13,,,€75,httpswwwhotelnicolaaswitsennl,,,,,hotel nicolaas witsen,,,,no,,,,,,,,,,,,,,,,,,
,,,,,hotel asterisk,,,smallish but clean and quiet room in two building across a residential street generous checkincheckout good breakfast include close to tram stop walk to rijksvan gogh museum,52.3589,,,,,,1400,,,,den texstraat 16,1100,,,,,,,,4.8939,,,,,,httpwwwasteriskhotelnlen,,,,,sleep,31 20 626 2396,hotel,,€70 knock off a couple of euro by book directly on their site,,,,,,,,,,no,,clean,smallish room clean and quiet generous checkincheckout good breakfast include close to tram stop walk distance to rijksvan gogh museum,,,,cheap,,,,,,,,,smallish,,
,,,,,blue moon bed breakfast,,,bed breakfast opposite the rijksmuseum,52.36033,,,,,,,,,,weteringschans 123a,,,,,,,,,4.8888,,,,,,httpwwwbluemoonamsterdamnl,,,,,sleep,31 20 428 88 00,hotel,,from €105 to €165,,,,,,,,,,no,,,possible facility number bed view,,,,medium,,,,,city view,,,,,,
,,,,,cocomama,,,amsterdam first boutique hostel free wifi garden fully equip kitchen for guest use livingroom very social atmosphere all room en suite,52.35877,,,,,,4 pm,cocomama,,,westeinde 18,12 pm,,,,,,,,4.89866,,,,,,httpwwwcocomamanl,,,outside,,sleep,31 6272 454,hostel,,private room €76 to €126 dorm €26 €48,httpswwwcocomamanl,,,,,cocomama,,,,no,,,private bath kitchen livingroom garden free wifi,,,,medium,yes,,yes,,,yes,,,,,
,,,,,hotel de paris,,,three star hotel,52.36547,,,,,,,,,,marnixstraat 372,,,,,,,,,4.87979,,,,,,httphoteldeparisamsterdamnl,,,,,sleep,31 20 623 75 24,hotel,,from €99,,,,,,,,,,no,,,possible room facility in a threestar hotel room could include private bath air conditioning tv number bed size,,,,medium,,,,,,,,,,,
,,,,,hotel la boheme,,,two star hotel with very friendly staff clean room and free wi fi,52.36455,,,,,,,,,,marnixstraat 415,,,,,,,,,4.88108,,,,,,httpwwwlabohemeamsterdamcom,,,,,sleep,31 20 624 2828,hotel,,€80130,,,,,,,,,,no,,clean and friendly staff,base on the description provide the possible room facility could be private bath free wifi clean room,,,,medium,,,,,,,,,,,
,,,,,jewel canal apartment,,,two canal side apartment in the center of amsterdam close to the dam square suitable for holiday and business stay free high speed internet,52.37237,,,,,,,,,,singel 235,,,,,,,,,4.88898,,,,,,httpwwwamsterdamjewelcom,,,,,sleep,31 6 244 575 93,apartment close to center,,from €109 to €179,,,,,,,,,,no,,,location center of amsterdam close to dam square canal side free high speed internet,,,,medium,,,,,city view,,,,,,
,,,,,marnix hotel,,,2 star hotel with dorm bed,52.36546,,,,,,,de koe,,,marnixstraat 382,,,,,,,,,4.87979,,,,,,,,,,,sleep,31 20 664 6111,cafe,,€7995 dorm €30 per person,,cafe,,,,de koe,,,,no,,,dorm bed share bath air conditioning optional not always available in 2star hotel,,,,cheap,,,no,,,,,,,,
,,,,,hotel nicolaas witsen,,,3star hotel in the city center of amsterdam nearby heineken factory,52.35889,,,,,,,hotel nicolaas witsen,,,nicolaas witsenstraat 4,,,,,,,,,4.89609,,,,,,httpwwwhotelnicolaaswitsennl,,,,,sleep,31 20 626 65 46,hotel,,€132,httpswwwhotelnicolaaswitsennl,,,,,hotel nicolaas witsen,,,,no,,,private bath air conditioning tv number bed twindouble size standardsuite room,,,,,,,,,city view,,,,,,
,,,,,eden amsterdam american hotel,,,list a an art nouveau monument the hotel be right in the heart of leidseplein square both café americain and bar americain be in the hotel famous for celebrity and vip spot,52.36382,,,,,,,,,,leidsekade 97,,,,,,,,,4.88123,,,,,,httpwwwedenamsterdamamericanhotelcomen,,a member of summit hotel and resort,,,sleep,31 20 5563000,hotel,,€100200,,,,,,,,,,no,,,private bath air conditioning view number bed size,,,,medium,,,,,city view,,yes,,,,
,,,,,hotel ambassade,,,four star hotel on one of the main canal writer that stayed here left sign copy of their book in the hotel library,52.3694,,,,,,,,,,herengracht 341,,,,,,,,,4.88722,,,,,,httpwwwambassadehotelnl,,,,,sleep,31 20 555 02 22,hotel,,€195,,,,,,,,,,no,,,facility private bath air conditioning view library size,,,,medium,,,,,,,,,,,
,,,,,hotel pulitzer,,,25 restore 17th and 18th century canal house overlook two of the city most picturesque canal prinsengracht and keizersgracht and make famous in ocean 12,52.37267,,,,,,,,,,prinsengracht 315331,,,,,,,,,4.88328,,,,,,httpwwwpulitzeramsterdamcom,,,,,sleep,31 20 523 52 35,hotel,,€259,,,,,,,,,,no,,,view of prinsengracht and keizersgracht canal private bath number of bed varies per room size of room varies per canal house,,,,expensive,,,,,city view,,,,,,
,,,,,tropenmuseum,,,ethnographic and cultural museum about africa asia and south america include an excellent cafe which sell food from around the world,52.36277,,,,,,,,,,linnaeusstraat 2,,,,,,,,,4.92268,,tusu 10001700,,,,httptropenmuseumnlen,,,,,see,31 20 5688200,,,€1250,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,persmuseum,,,,52.36916,,,,,,,,,,zeeburgerkade 10,,,,,,,,,4.939835,,,,,,httppersmuseumnl,,press museum,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,oosterpark,,,close to plantage this park hold several multicultural festival throughout the year,52.3601,,,,,,,,,,,,,,,,,,,4.9205,,,,,,,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,diemerpark,,,this be a large park a little like a dune park,52.3527,,,,,,,,,,,,,,,,,,,4.9866,,,,,,,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,flevopark,,,the flevopark be in the indische buurt at the eastern end of the insulindeweg next to the jewish cemetery the flevobad swim pool and the nieuwe diep inlet there be two cafés open in springsummerautumn time and one festival each year,52.3615,,,,,,,,,,,,,,,,,,,4.9494,,,,,,,,,,,see,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,frankendael,,,frankendael be a house built in 1733 in watergraafsmeer the house be surround by a pleasant park take tram 9 get off at the stop hugo de vrieslaan,52.3507,,,,,,,at the parq,,,,,,,,,,,,4.9297,,,,,,,,,,,see,,cafe,,,,cafe,,,,at the parq,,,,no,,,,,,,,,,,,,,,,,outdoor,
,,,,,dappermarkt,,mcdonalds,mcdonalds amsterdam van swindenstraat,52.36258,,,,,yes,,mcdonalds,,,dapperstraat,,,yes,burger,,,,,4.92753,,msa 09001700,,,,,,,,07000100 frsa 07000300,buy,31 20 6947495,fastfood,,,,fastfood,mcdonalds,,burger,mcdonalds,07000100 frsa 07000300,,,no,,,,,,,,,,,,,,,,,,
,,,,,bijtij,,,boutique,52.35272,,,,,,,tjikky ko,,,krijn taconiskade 126,,,,,,clothes,,,5.00357,,,,,,,,,,wesu 12001700,buy,,,,,,,,,,tjikky ko,wesu 12001700,clothes,,no,,,,,,,,,,,,,,,,,,
,,,,,bliksem en sterren,,,for kid clothing,52.35524,,,,,,,,,,ijburglaan 1153,,,,,,,,,4.99573,,tuf 09001730 sa 10001700,,,,httpwwwbliksemensterrencom,,,,,buy,31 20 4166617,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,design020,,,shop for furniture etc,52.36227,,,,,yes,,design020,,,pedro de medinalaan 89,,,,,,mall,,,4.9756,,tusa 10001800,,,,,,,,mo off tusa 10001800 su 12001700,buy,,,,,httpsdesign020nl,,,,,design020,mo off tusa 10001800 su 12001700,mall,,no,,,,,,,,,,,,,,,,,,
,,,,,flo 4 kidz,,,for kid clothing,52.35514,,,,,,,flo 4 kidz,,,ijburglaan 12731275,,,,,,clothes,,,4.99594,,tu 12001730 wsa 10001730,,,,httpflo4kidznlflo4kidzhtml,,,,tu 12001730 wesa 10001730,buy,31 20 6625007,,,,httpwwwflo4kidznl,,,,,flo 4 kidz,tu 12001730 wesa 10001730,clothes,,no,,,,,,,,,,,,,,,,,,
,,,,,frontrow,,,boutique,52.35503,,,,,,,diamond and curl,,,ijburglaan 1277,,,,,,hairdresser,,,4.99616,,,,,,,,,,,buy,,,,,,,,,,diamond and curl,,hairdresser,,no,,,,,,,,,,,,,,,,,,
,,,,,ien lifestyleshop,,,boutique,52.35513,,,,,,,diamond and curl,,,diemerparklaan 52,,,,,,hairdresser,,,4.99597,,,,,,,,,,,buy,,,,,,,,,,diamond and curl,,hairdresser,,no,,,,,,,,,,,,,,,,,,
,,,,,ijgenwijs,,,nice shop for present and home decoration it be about to close,52.35489,,,,,,,smartphone repair,,,ijburglaan 1285,,,,,,electronics,,,4.99645,,,,,,,,,,,buy,,,,,,,,,,smartphone repair,,electronics,,no,,,,,,,,,,,,,,,,,,
,,,,,sevenlands,,,boutique,52.35349,,,,,yes,,dierenparadijs,,,ijburglaan 1359,,,,,,pet,,,4.9991,,,,,,,,,,,buy,,,,,,,,,,dierenparadijs,,pet,,no,,,,,,,,,,,,,,,,,,
,,,,,suburb denim,,,boutique,52.35126,,,,,,,,,,ijburglaan 1499,,,,,,,,,5.00325,,,,,,,,,,,buy,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,tjikkyko,,,for kid clothing,52.35267,,,,,,,tjikky ko,,,krijn taconiskade 128p,,,,,,clothes,,,5.00367,,,,,,,,,,wesu 12001700,buy,,,,,,,,,,tjikky ko,wesu 12001700,clothes,,no,,,,,,,,,,,,,,,,,,
,,,,,boerenjongens eetwinkel,,,a deli shop annex lunch room with product from the region,52.35667,,,,,,,brouwer makelaars,,,talbotstraat 3,,,,,,estateagent,,,4.99327,,,,,,,,,,,eat,31 20 4167059,,,,,,,,,brouwer makelaars,,estateagent,lunch,no,,,,,,casual,,,,,,,,,,,,
,,,,,ijsburg,,,ice cream shop,52.35225,,,,,,,midnight ijburg,,,pampuslaan 41,,,,,,convenience,,,5.007687,,,,,,,,,,,eat,,,,,,,,,,midnight ijburg,,convenience,,no,,,,,,casual,,,,,,,,,,,,
,,,,,de keuken van tante til,,,mediterranean deli annex restaurant,52.35149,,,,,,,,,,ijburglaan 1501,,,,,,,,,5.00279,,,,,,httpwwwdekeukenvantantetilnl,,,,,eat,31 20 4166609,,,main €1015,,,,,,,,,lunch,no,,,,,,casual,cheap,,,,,,,,,,,
,,,,,biertuin,,,oktoberfeststyle biergarten so expect long table and a wide variety of bottle beer available it have a nice atmosphere during warm summer evening try the hamburger deluxe or chicken menu and come early a it be often crowd reservation can not be make but you can wait outside with a beer until seat be available,52.3623,,,,,,,,,,linnaeusstraat 29,,,,,,,,,4.92416,,su th 11000100 f sa 11000300,,,,httpwwwdebiertuinnl,,,,,eat,31 20 6650956,,,€1520,,,,,,,,,dinner,no,,,,,,casual,medium,,,,,,,,,,,
,,,,,bloem op ijburg,,,italian restaurant,52.35446,,,,,,,bloem op ijburg,,,ijburglaan 1289,,,yes,italian,,,,,4.99714,,17302200 daily,,,,httpwwwbloemopijburgnl,,,,tusa 17302130,eat,31 20 4160677,restaurant,,€1520,httpswwwbloemopijburgnl,restaurant,,,italian,bloem op ijburg,tusa 17302130,,dinner,no,,,,,,chic,medium,,,,,,,,,,,
,,,,,de ponteneur,,,an inexpensive barrestaurant with great food and atmosphere all food serve be fresh and homemade free wifi available excellent bang for the buck and suit for only a drink a well no english menu some waiter speak english,52.36343,,,,,,,,,,eerste van swindenstraat 581,,,,,,,,,4.93032,,mth 09000100 f sa 09000200 su 10000100,,,,httpwwwponteneurnl,,,,,eat,31 20 6680680,,,main €1520,,,,,,,,,dinner,no,,,,,,casual,medium,,,,,,,,,,,
,,,,,aan de amstel,,,this small but cosy place be run by popular dutch cooking book author and illustrator yvette van boven it serf home make comfy food with a mediterranean touch it a table dhotestyle restaurant with a small menu and a fix price for 3 or 4 course meal,52.35586,,,,,,,,,,weesperzijde 42a,,,,,,,,,4.90742,,tusa 16002200,,,,httpwwwaandeamstelnl,,,,,eat,31 206080077,,,3550 for 3 course,,,,,,,,,dinner,no,,,,,,intimate,medium,,,,,,,,,,,
,,,,,silk road restaurant,,,eastern and western fusion meal with both à la carte and on high occupy day o­nly a live cooking theme buffet the restaurant have a view o­n the river ij open 7 day per week for lunch and dinner,52.37799,,,,,,,,,,2f mövenpick hotel piet heinkade 11,,,,,,,,,4.91377,,,,,,httpwwwsilkroadnl,,,,,eat,31 20 5191200,,,€2540,,,,,,,,,dinner,2 star,,,,,,casual,medium,,,,,,,,,,,
,,,,,blijburg aan zee,,,,52.3499,,,,,,,,,,muiderlaan 1001,,,,,,,,,5.01459,,mth 11000100 f su 10000100 sa 10000200,,,,httpwwwblijburgnl,,,,,drink,31 20 4160330,,,,,,,,,,,,,no,,,,,,casual,,,,,,,,,,,,
,,,,,dok48,,,,52.35282,,,,,,,dok48,,,krijn taconiskade 328,,,,,,,,,5.00534,,,,,,httpwwwdok48nl,,,outside,tusu 11002359,drink,31 20 3306817,restaurant,,,httpswwwdok48nl,restaurant,,,,dok48,tusu 11002359,,,no,,,,cocktail,jazz,no,,,,,,,,,,,indoor and outdoor,
,,,,,espressofabriek,,,coffee bar,52.35187,,,,,yes,,espressofabriek,,,ijburglaan 1489,,,,coffeeshop,,,,,5.00209,,,,,,,,,,mofr 08001700 sasu 09001700,drink,31 20 7747965,cafe,,,httpsespressofabrieknl,cafe,,,coffeeshop,espressofabriek,mofr 08001700 sasu 09001700,,,no,,,,coffee,jazz,casual,,,,,,,,,,,,
,,,,,the lighthouse,,,,52.35365,,,,,,,,,,krijn taconiskade 432,,,,,,,,,5.00648,,,,,,,,,,,drink,31 20 7508395,,,,,,,,,,,,,no,,,,soft drink,folk,familyfriendly,,,,,,,,,,,,
,,,,,nap,,,a harbourside cafe and restaurant with a view of the marina you can just stop by for a cup of coffee have breakfast lunch or dinner stylish interior,52.35286,,,,,,,,,,krijn taconiskade 124,,,,,,,,,5.00334,,,,,,httpwwwnapamsterdamnl,,,,,drink,31 20 4164000,,,,,,,,,,,,,no,,,,coffee,,chic,,,,,,,,,,,,
,,,,,odessa,,,,52.37451,,,,,,,,,,veemkade 259,,,,,,,,,4.93763,,,,,,httpodessapizzagrillnl,,,,,drink,31 20 4193010,,,,,,,,,,,,,no,,,,tea,indie,no,,,,,,,,,,,,
,,,,,panama,,,this nightclub be relatively close to the city centre it have it fair share of nice night and the view on the water be excellent,52.37491,,,,,,,,,,oostelijke handelskade 4,,,,,,,,,4.93021,,,,,,httpwwwpanamanl,,,,,drink,,,,,,,,,,,,,,no,,,,cocktail,electronic,chic,,,,,,,,,,,,
,,,,,tonight club,,,,52.36123,,,,,,,,,,hotel arena s gravesandestraat 51,,,,,,,,,4.9163,,,,,,httpwwwhotelarenanl,,,,,drink,,,,,,,,,,,,,,no,,,,wine,pop,casual,,,,,,,,,,,,
,,,,,canvas,,,a restaurantbarclub this urban and edgy den in a former newspaper office be a great place to go out at night with nice view of the city and a varied music repertoire alternative jazz funk it one of the hidden secret too often overlook by foreign visitor try one of the cocktail,52.35378,,,,,yes,,canvas,,,7f volkshotel wibautstraat 150,,,,,,,,,4.91195,,mth 07000100 f 07000400 sa 08000400 su 08000100,,,,httpwwwcanvasopde7enl,,,,mosu 07000100,drink,31 20 2612100,restaurant,,,httpswwwvolkshotelnlencanvas,restaurant,,,,canvas,mosu 07000100,,,no,,,,cocktail,jazz,chic,,,,,,,,,,,outdoor,
,,,,,camp zeeburg,,,this campground be near the city it have camp cabin wagonettes tent site and rv site a good store free wifi and restaurantbar round out the amenity a good clean and cheap place to stay if you do not mind walk to the bathroom and pay €80 for a hot shower,52.36522,,,,,,,,,,zuider ijdijk 20,,,,,,rental,,,4.96071,,,,,,,,,,,sleep,31 20 6944430,bicyclerental,,,,bicyclerental,,,,,,rental,,no,,clean,camp cabin wagonettes tent site rv site store free wifi restaurantbar bathroom facility shower available for €80,,,,,,,no,,city view,,,,,,
,,,,,stayokay zeeburg,,,this 480 bed hostel be locate to the east of the city centre in a typical amsterdam neighbourhood amsterdam historic centre be less than 15 minute away by bike or tram the hostel be in the same building a studio k a budget diner and movie theatre,52.36533,,,,,,,,,,timorplein 21,,,,,,,,,4.9355,,,,,,httpwwwstayokaycom,,,,,sleep,31 20 5513190,hostel,,,,,,,,,,,,no,,,number of bed 480 location to the east of the city centre nearby amenity budget diner and movie theatre access to historic centre less than 15 minute by bike or tram,,,,,,,,,city view,,yes,480,,,
,,,,,bb lieve nachten,,,,52.36177,,,,,,,,,,jan olphert vaillantlaan 77,,,,,,,,,4.97719,,,,,,httplievenachtennl,,,,,sleep,31 6 24570925,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,bastion hotel amstel,,,comfortable but lack in charm 4 star hotel near overamstel metro 10 minute walk then 10 minute train ride to centraal station but without pedestrian access to the road you have to take your chance with the traffic,52.33366,,,,,,,,,,verlengde van marwijk kooystraat 30,,,,,,,,,4.92761,,,,,,httpwwwbastionhotelsnlen,,,,,sleep,31 20 6634567,hotel,,€70,,,,,,,,,,no,,,air conditioning tv private bath 10 minute walk from overamstel metro station 10 minute train ride to centraal station,,,,,,,,,,,,,,,
,,,,,mövenpick hotel,,mövenpick,the hotel be locate in the eastern docklands the renew area of the city centre which make it perfect for business or pleasure,52.37801,,,,,yes,,mövenpick hotel,,,piet heinkade 11,,,,,,,,,4.91363,,,,,,httpwwwmoevenpickhotelscom,,,,,sleep,31 20 5191200,hotel,,€149,httpwwwmoevenpickhotelscom,,mövenpick,,,mövenpick hotel,,,,no,,,base on the description provide i can not determine specific room facility,,,,medium,,,,,city view,,,,,,
,,,,,brouwersgracht,,,this canal be sometimes cite a the most beautiful street of amsterdam the name brewer canal refers to the many beer brewery along the canal in the 16th and 17th century nowadays there just one distillery left de ooievaar that have be locate here since 1782 and specializes in dutch jenever and liquor the warehouse here use to store good such a coffee spice and leather but now serve a residential purpose traditional warehouse with the row of spout gable can be found at brouwersgracht 196–188 and at 204 206 208 and 210 also check out the wideopen red shutter at groene valk 192 and grouwe valk 194 geloof brouwersgracht 218 show the typical neck gable design by philip vingboons,52.379431,,,,,,,de belhamel,,,,,,,regional,,,,,4.890879,,,,,,,,,,12001600 18002200,see,,restaurant,,,,restaurant,,,regional,de belhamel,12001600 18002200,,,no,,,,,,,,,,,,,,,,,,
,,,,,noorderkerk,,,,52.37968,,,,,,,,,,noordermarkt 48,,,,,,,,,4.886433,,m 10301230 sa 11001300 aproct su 13301730,,,,httpwwwnoorderkerkorg,,,,,see,31 20 6266436,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,pianola museum,,,a museum about pianola from the early 1900s about a dozen be displayed at any one time and every month a piano concert be held,52.378635,,,,,,,pianola museum,,,westerstraat 106,,,,,,,,,4.883573,,su 14001700,,,,httppianolanlpianolamuseumwelcomehtml,,,,frsa 13001700 su 13001600,see,31 20 6279624,,,€5,httpswwwpianolanl,,,20230619,,pianola museum,frsa 13001700 su 13001600,,,no,,,,,,,,,,,,,,,,,,
,,,,,lapjesmarkt,,,a specialist market concentrate on sell cloth and material for make clothes curtain etc monday only,,,,,,,,,,,westerstraat,,,,,,,,,,,m 09001300,,,,,,,,,buy,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,,,lindengracht,,,sell a wide range of good fruit and vegetable fish and various household item saturday only,,,,,,,,,,,,,,,,,,,,,,sa 09001600,,,,,,,,,buy,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
