addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
39,Vijzelstraat,,,,Feijoa,,,Cocktail bar with a lovely atmosphere pleasant music and friendly staff including one of the Netherlands leading cocktail barmen Will make any cocktail you ask for,52.36599,,X X,,,,,Bobbys,,1017HE,Vijzelstraat 39,,,,,,,,,4.89329,,,,,,,,,,,drink,31 6 53 726 137,bar,,,,,,,,,,Cocktail,Jazz,Intimate,,,,,,,,,,,,
57,Max Euweplein,,,,Hard Rock Cafe,,Hard Rock Cafe,This is close to or right next to the Holland Casino also close to the Leidseplein Great service great food and plenty of drinks,52.36203,enHard Rock Cafe,X X   X  X X   X yes 2234 limited 983 no 881,,,limited,,Hard Rock Cafe,,1017MA,Max Euweplein 61,,,,american,,,,,4.88304,no,,,,,,,,,MoTh 09002400 FrSa 09000100,drink,31 20 888 1358,restaurant,,,httpswwwhardrockcafecomlocationamsterdam,,,,,,,cocktail,Pop,Casual,,,,,,,,,,,,vegetarian
163,Lijnbaansgracht,,,,Maloe Melo,,,Small blues bar which is separated in two parts a free part in the front €5 entrance fee in the back where blues or rock n roll bands play live every night of the week,52.37005,,X  X X  X,,,,,Bluescafé Maloe Melo,,1016VX,Lijnbaansgracht 163,,,,,,,,,4.87771,,SunThu 3 AM FriSat 4 AM,,,,httpwwwmaloemelocom,,,,SuTh 21000300 FrSa 21000400,drink,31 20 420 4592,bar,,"Free entrance in the front part
 €5 entrance fee in the back
 Live blues or rock n roll bands every night of the week
 Entrance fee €5 for the back part",httpswwwmaloemelocom,,,,,,,Beer,Blues,Casual,This place can be categorized as cheap based on the entrance fee of €5,,,,,,,,,,,
102,Amstel,,,,Mulligans Irish Music Bar,welcome,,The oldest Irish bar in Amsterdam Mulligans has live music most nights This is where the traditional music crowd gathers,52.36698,,X  X   wlan 431 yes 64 no 20 primary 20 welcome 4 X X X yes 2234 limited 983 no 881,,,limited,,Blin Queen,,1017AD,Amstel 100,,,,breakfastcakecoffeeshopcrepedinerpancake,,,,,4.89684,,,,,,httpwwwmulligansnl,wlan,,,MoTh 09002100 Fr 09002200 SaSu 09001800,drink,,restaurant,,,httpswwwblinqueencom,,,,,,,beer,Traditional,Casual,,,,,,,,,,,,vegetarian and gluten free
2729,Rembrandtplein,,,,lOpera,,,A friendly spot for coffee a beer or something stronger You may at first only notice the outside seating and the enclosed terrace but there is also an elegant usually quieter indoor area Food too but you dont see many eaters,52.36644,,X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1,,,,,Beers  Barrels,,1017CT,Rembrandtplein 2729,,,,,,,,,4.8975,,,,,,httpwwwloperanl,,,,,drink,31 20 620 47 54,cafe,,,,,,,,,,Coffee,Jazz,Intimate,,,,,,,,,,,outdoor,
86,Korte Leidsedwarsstraat,,,,Whisky Cafe LB,,,If you like whisky this small laidback and friendly cafe is the ideal place to visit Many unusual whiskies from independent bottlers and closed distilleries are available The menu stretches along one wall and is about 2 meters in height the cafe having had 1001 whiskies available since they opened Just be warned the stairs to the toilets are pretty steep,52.36271,,X X  X,,,,,De Spuyt,,1017RD,Korte Leidsedwarsstraat 8284,,,,,,,,,4.88538,no,,,,,httpwhiskyproeverijennl,,,,,drink,31 6 245 541 62,pub,,,httpwwwcafedespuytnl,,,,,,,Whisky,None,Intimate,,,,,,,,,,,,
,,,,,AIR,,,,,,,,,,,,,,Amstelstraat 16,,,,,,,,,,,,,,,httpwwwairnl,,,,,drink,,,,,,,,,,,,wine,Classical,Familyfriendly,,,,,,,,,,,,
,,,,,Chicago Social Club,,,Amsterdams nightlife king Casper Reinders joined with the founders of Bitterzoet and the owners of Boom Chicago to bring quality clubbing to the Leidspelein,,,,,,,,,,,Leidseplein 12,,,,,,,,,,,,,,,httpwwwchicagosocialclubnl,,,,,drink,,,,,,,,,,,,cocktail,Clubbing,Chic,,,,,,,,,,,,
,,,,,Club HOME,,,,,,,,,,,,,,Wagenstraat 7,,,,,,,,,,,,,,,httpwwwclubhomenl,,,,,drink,,,,,,,,,,,,Beer,Jazz,Intimate,,,,,,,,,,,,
,,,,,Escape,,,A large fairly uninspiring nightclub that mostly plays mainstream house music The first hall is large and attracts the more or less wannabe hip people of the city although the crowd is diverse The second hall upstairs has a completely different audience mostly hiphop and RB enthusiasts At some events Escape is split in two which means you can use the backside entry at Amstel for a different party,,,,,,,,,,,Rembrandtplein 11,,,,,,,,,,,,,,,httpescapenl,,,,,drink,,,,,,,,,,,,Beer,House,Casual,,,,,,,,,,,,
,,,,,Jimmy Woo,,,The most glamorous club in Amsterdam offers a selection of house and rb with a spectacularly lit dance floor downstairs It is relatively small and there is table service so it feels a bit like a VIProom Entry policy is strict so dress sharp to get in And boys dont come alone,,,,,,,,,,,Korte Leidsedwarsstraat 18,,,,,,,,,,,,,,,httpwwwjimmywoocom,,,,,drink,,,,,,,,,,,,Cocktail,House,Chic,,,,,,,,,,,,
,,,,,Melkweg,,,A former milk factory now its one of the best live venues of Amsterdam Its interior is not as good as Paradiso but it feels more like a nightclub as the music is dancetrance oriented Popular among university students and younger tourists its a great place to go out till the sun gets up Rates can vary widely and go very steep during special events,,,,,,,,,,,Lijnbaansgracht 234,,,,,,,,,,,,,,,httpwwwmelkwegnl,,,,,drink,,,,,,,,,,,,Beer,Dance,Chic,,,,,,,,,,,,
,,,,,Paradiso,,,Sometimes referred to as a nightclub it feels more like a nightly music venue and is the safest bet in town Its interior is phenomenal as it is housed in a former church but the main room has relatively bad acoustics It gets a mixed crowd as there are plenty of rooms with different bands performing and it isnt too crazy expensive Its music straddles the line between pop and alternative Much of the performances are rock but it can really be anything dont be surprised to be dancing the Russian troika with thousands of people on a Wednesday night It gets fairly packed as is obvious by the huge line on the weekends especially after 0100,,,,,,,,,,,Weteringschans 6,,,,,,,,,,,,,,,httpwwwparadisonl,,,,,drink,,,,,,,,,,,,cocktail,Club,Chic,,,,,,,,,,,,
,,,,,Studio 80,,,This is a somewhat more underground intimate club thats easy to miss because of its flashy neighbours It prides itself by trying to stay on the forefront of electronic music in the city,,,,,,,,,,,Rembrandtplein 17,,,,,,,,,,,,,,,httpwwwstudio80nl,,,,,drink,,,,,,,,,,,,Beer,Electronic,Intimate,,,,,,,,,,,,
,,,,,Sugar Factory,,,Bit of a remarkable place that integrates art music culture theatre and nightclub into one It has a relaxed atmosphere with an eccentric artistry audience,,,,,,,,,,,Lijnbaansgracht 238,,,,,,,,,,,,,,,httpwwwsugarfactorynlpagesitehome,,,,,drink,31 20 626 50 06,,,Around €10,,,,,,,,cocktail,Eclectic,Eclectic,Medium,,,,,,,,,,,
,,,,,The Cave Rockclub,,,Cozy metal bar with friendly barstaff and interesting regulars with live performances by touring metal bands on weekends,,,,,,,,,,,Prinsengracht 472,,,,,,,,,,,,,,,httpwwwthecavenl,,,,,drink,31 20 626 89 39,,,,,,,,,,,Beer,Metal,Intimate,,,,,,,,,,,,
,,,,,Waterhole,,,Light rockfunk jam sessions in a dingy but atmospheric bar with pooltables Live bands play every night of the week,,,,,,,,,,,Korte Leidsedwarsstraat 49,,,,,,,,,,,SuTh 3 AM FriSat 4 AM,,,,httpwwwwaterholenl,,,,,drink,31 20 620 89 04,,,€1 entrance fee includes wardrobe,,,,,,,,Beer,Funk,Casual,Cheap,,,,,,,,,,,
,,,,,Betty Too,,,Absolute gem cozy and friendly place with moderate prizes and interesting international crowd,,,,,,,,,,,Reguliersdwarsstraat 29,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,None,Intimate,,,,,,,,,,,,
,,,,,Bulldog,,,This is the original shop that used to be a police department Now it turned into a chain of touristy coffeeshops bars hotels and even an energy drink,,,,,,,,,,,Leidseplein 1317,,,,,,,,,,,,,,,httpwwwbulldognl,,,,,drink,,,,,,,,,,,,Coffee,Pop,Casual,,,,,,,,,,,,
,,,,,Global Chillage,,,Good produce and nice tunes but uncomfortable seating,,,,,,,,,,,Kerkstraat 51,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,,ambient,Casual,,,,,,,,,,,,
,,,,,Grey Area,,,Tiny but famous for their outstanding weed especially American strains,,,,,,,,,,,Oude Leliestraat 2,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,Beer,Hiphop,Intimate,,,,,,,,,,,,
,,,,,The Otherside,,,Gay coffeeshop,,,,,,,,,,,Reguliersdwarsstraat 6,,,,,,,,,,,,,,,,,,,,drink,,,,,,,,,,,,Coffee,Jazz,Casual,,,,,,,,,,,,
138,Kerkstraat,,,,Hans Brinker Hostel,,,Very light atmosphere and doesnt take itself seriously Bar and downstairs club,52.36362,,X   X wlan 431 yes 64 no 20 X   X yes 2234 limited 983 no 881,,,limited,,Hans Brinker,,1017GR,Kerkstraat 136138,,,,,,,,,4.88815,,,,,,httpwwwhansbrinkercom,wlan,,,,sleep,31 20 622 0687,hostel,,dorm €24 per person,httpshansbrinkercom,,,,,"Bar
 Club",Hostel,,,,Cheap,,,,,,No,,,,,
,,,,,Mozart Hotel,,,47 ensuite rooms,52.36555,,X X  X X,,,,,Ticket Shop Stromma Canal Tours,,,Prinsengracht 518520,,,,,,ticket,,,4.88659,,,,,,httpwwwhotelmozartnl,,,,,sleep,31 20 620 95 46,yes,,Singles €50 doubles €60,httpswwwstrommacom,,,,,"Private bath
 Number of beds 47",Hotel,,,,Cheap,Yes,,Yes,,,,,,,,
4,Nicolaas Witsenstraat,,,,Hotel Nicolaas Witsen,,,,52.35891,,X    X,,,,,Hotel Nicolaas Witsen,,1017ZH,Nicolaas Witsenstraat 48,,,,,,,,,4.89611,,,3,,,httpwwwhotelnicolaaswitsennl,,,,,sleep,31 20 623 6143,hotel,,€75,httpswwwhotelnicolaaswitsennl,,,,,,,,,,,,,,,,,,,,,
,,,,,Hotel Asterisk,,,Smallish but clean and quiet rooms in two buildings across a residential street Generous checkincheckout good breakfast included Close to tram stop walk to Rijksvan Gogh museums,52.3589,,wlan 431 yes 64 no 20 X,,,,1400,Kap,,,Den Texstraat 16,1100,,,,,,,,4.8939,,,2,,,httpwwwasteriskhotelnlen,wlan,,,,sleep,31 20 626 2396,hotel,,€70 knock off a couple of euros by booking directly on their site,,,,,Clean,"Private bath
 Breakfast included
 Air conditioning
 Close to tram stop
 View possibly of the residential street
 TV
 Possibly small size rooms in two separate buildings
 Walking distance to Rijksvan Gogh museums",Hotel,,,,Cheap,,,No,No,,,Yes,,Smallish,,
113,Weteringschans,,,,Blue Moon Bed  Breakfast,,,Bed  Breakfast opposite the Rijksmuseum,52.36033,,X X   yes 2234 limited 983 no 881,,,no,,Carl Denig,,1017SB,Weteringschans 123A,,,,,,outdoor,,,4.8888,,,,,,httpwwwbluemoonamsterdamnl,,,,,sleep,31 20 428 88 00,,,From €105 to €165,,,,,,"View
 Number of beds",Hotel,,,,Medium,,,,,View of the Rijksmuseum,No,,,,,
18,Westeinde,,,,Cocomama,,,Amsterdams first boutique hostel Free wifi garden fully equipped kitchen for guest use livingroom Very social atmosphere All rooms en suite,52.35877,,X  no 149 outside 100 isolated 7 separated 7 dedicated 3 yes 1    X,,,,4 pm,Cocomama,,1017ZP,Westeinde 18,12 pm,,,,,,,,4.89866,,,,,,httpwwwcocomamanl,,,outside,,sleep,31 6272 454,hostel,,Private room €76 to €126 dorm €26  €48,httpswwwcocomamanl,,,,Cleanliness,"Private bath en suite rooms
 Kitchen fully equipped for guest use
 Garden
 Living room
 Free wifi",Hostel,,,,Medium,Yes,,Yes the hotel room has a bath,No,,Yes,,,,,
382O,Marnixstraat,,,,Hotel de Paris,,,Three star hotel,52.36547,,X  X   X,,,,,Hotel Marnix,,1016XX,Marnixstraat 372,,,,,,,,,4.87979,,,,,,httphoteldeparisamsterdamnl,,,,,sleep,31 20 623 75 24,,,From €99,httpswwwmarnixhotelnl,,,,,Based on the description provided it is not clear what specific room facilities are available in the threestar hotel Possible facilities in a threestar hotel room may include a private bath air conditioning TV and possibly a balcony or a view depending on the hotels location and offerings,Hotel,,,,Medium,,,,,,,,,,,
415,Marnixstraat,,,,Hotel La Boheme,,,Two star hotel with very friendly staff Clean rooms and free wi fi,52.36455,,X    X,,,,,La Bohème,,1017PK,Marnixstraat 415,,,,,,,,,4.88108,,,,,,httpwwwlabohemeamsterdamcom,,,,,sleep,31 20 624 2828,hotel,,€80130,httpswwwlabohemeamsterdamcom,,,,Clean and friendly staff,"Room Facilities
1 Private bath
2 Free WiFi
3 Clean rooms",Hotel,,,,medium,,,,,,,,,,,
,,,,,Jewel Canal Apartments,,,Two canal side apartments in the center of Amsterdam close to the Dam Square Suitable for holiday and business stays Free high speed internet,52.37237,,X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 yes 72 no 22 unisex 2  yes 2234 limited 983 no 881,,,no,,Cafe Het Paleis,,,Singel 235,,,,,,,,,4.88898,no,,,,yes,httpwwwamsterdamjewelcom,,,,,sleep,31 6 244 575 93,cafe,,From €109 to €179,,,,,,"Canal view
 Central location
 Free high speed internet",Apartment,,,,Medium,,,No,,Canal view,No,,,,,
382O,Marnixstraat,,,,Marnix Hotel,,,2 star hotel with dorm beds,52.36546,,X  X   X,,,,,Hotel Marnix,,1016XX,Marnixstraat 382,,,,,,,,,4.87979,,,,,,,,,,,sleep,31 20 664 6111,,,€7995 dorm €30 per person,httpswwwmarnixhotelnl,,,,,"Dorm beds
 Shared bathroom
 Air conditioning optional",Hostel,,,,Cheap,No,,,No,,No,No,,,,
4,Nicolaas Witsenstraat,,,,Hotel Nicolaas Witsen,,,3star hotel in the city center of Amsterdam nearby Heineken factory,52.35889,,X    X,,,,,Hotel Nicolaas Witsen,,1017ZH,Nicolaas Witsenstraat 4,,,,,,,,,4.89609,,,3,,,httpwwwhotelnicolaaswitsennl,,,,,sleep,31 20 623 6143,hotel,,€132,httpswwwhotelnicolaaswitsennl,,,,,"Size Average
 Private bath
 Air conditioning
 TV
 View
 Number beds Double bed
 Location City center of Amsterdam
 Nearby Heineken factory",Hotel,,,,Medium,,,,,,,,,,,
97,Leidsekade,,,,Eden Amsterdam American Hotel,,Hard Rock Hotel,Listed as an Art Nouveau monument the hotel is right in the heart of Leidseplein Square Both Café Americain and Bar Americain are in the hotel famous for celebrity and VIP spotting,52.36382,,X  X X X      X X yes 2234 limited 983 no 881,nlAmerican Hotel,,yes,,Hard Rock Hotel Amsterdam American,entrance at the side,1017PN,Leidsekade 97,,,,,,,,,4.88123,yes,,4s,,,httpswwwamsterdamamericanhotelcom,,A member of Summit Hotels and Resorts,,,sleep,31 20 556 3000,hotel,,€100200,httpswwwhardrockhotelscomamsterdamamerican,,,,,"Private bath
 Air conditioning
 TV
 Possibly balcony or view but not stated explicitly",Hotel,,,,medium,,Yes,,No,,No,Yes,,,,
341,Herengracht,,,,Hotel Ambassade,,,Four star hotel on one of the main canals Writers that stayed here left signed copies of their books in the hotels library,52.3694,,X     X,,,,,Ambassade Hotel,,1016AZ,Herengracht 341,,,,,,,,,4.88722,,,4,,,httpwwwambassadehotelnl,,,,,sleep,31 20 555 02 22,hotel,,€195,httpswwwambassadehotelnlnlhome,,,,,"Private bath
 Air conditioning
 View
 Library",Hotel,,,,,,,,,View of main canals,,,,,,
323,Prinsengracht,,,,Hotel Pulitzer,,,25 restored 17th and 18th century canal houses overlooking two of the citys most picturesque canals Prinsengracht and Keizersgracht and made famous in Oceans 12,52.37267,,X X      X yes 2234 limited 983 no 881,nlHotel Pulitzer,,yes,,Pulitzer,,1016GZ,Prinsengracht 315331,,,,,,,CategoryHotel Pulitzer,,4.88328,,,5s,,,httpwwwpulitzeramsterdamcom,,,,,sleep,31 20 523 5235,hotel,,€259,httpswwwpulitzeramsterdamcom,,,,,"View Overlooking Prinsengracht and Keizersgracht canals
 Private bath
 Possibly TV
 Possibly Air conditioning",Hotel,,,,Expensive,,,,No,Yes the hotel room has a view overlooking the Prinsengracht and Keizersgracht canals,No,Yes,0,,,
2,Linnaeusstraat,,,,Tropenmuseum,,,ethnographic museum,52.36277,,X X X   X    X yes 2234 limited 983 no 881,nlTropenmuseum,,yes,,Wereldmuseum Amsterdam,,1092CK,Linnaeusstraat 2,,,,,,,,,4.92268,,TuSu 10001700,,,,httptropenmuseumnlen,,,,TuSu 10001700,see,31 20 5688200,museum,,€1250,httpsamsterdamwereldmuseumnl,,,,,,,,,,,,,,,,,,,,,
,,,,,Persmuseum,,,,52.36916,,X X   X,,,,,,,,Zeeburgerkade 10,,,,,,,,,4.939835,,,,,,httppersmuseumnl,,Press Museum,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Oosterpark,,,Close to Plantage this park holds several multicultural festivals throughout the year,52.3601,,wlan 431 yes 64 no 20  X X   no 149 outside 100 isolated 7 separated 7 dedicated 3 yes 1   X  X,,,,,,,,,,,,,,,,,4.9205,,,,,,,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Diemerpark,,,This is a large park a little like a dune park,52.3527,,X X,,,,,,,,,,,,,,,,,4.9866,,,,,,,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flevopark,,,The Flevopark is in the Indische Buurt at the Eastern end of the Insulindeweg next to the Jewish cemetery the Flevobad swimming pool and the Nieuwe Diep inlet There are two cafés open in springsummerautumn time and one festival each year,52.3615,,X X X  yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 yes 2234 limited 983 no 881,,,,,,,,,,,,,,,,,4.9494,,,,,,,,,,,see,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Kamerlingh Onneslaan,,,,Frankendael,,,Frankendael is a house built in 1733 in Watergraafsmeer The house is surrounded by a pleasant park  Take tram 9 get off at the stop Hugo de Vrieslaan,52.3507,,X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1,,,,,At the ParQ,,1097DE,,,,,,,,,,4.9297,,,,,,,,,,,see,,cafe,,,,,,,,,,,,,,,,,,,,,,,outdoor,
,,,,,Bimhuis,,,World class jazz and improvised music venue five minutes by foot from Centraal Station,52.37796,,X X X yes 2234 limited 983 no 881,,,yes,,Amsterbike,,,Piet Heinkade 3,,,,,,bicycle,,,4.91289,,,,,,httpwwwbimhuisnlindexphplangen,,,,,do,31 20 7882150,bicyclerental,,€1418,,,,Entertainment,,,,,,,Based on the price range of €1418 this activity would be categorized as cheap,,,,,,,,,,,
,,,,,Blijburg Beach,,,This temporary artificial beach is only open in summers Oddly enough its surrounded by construction sites and modern architecture in IJburg the newest neighborhood of Amsterdam,52.34975,,X X  X X,,,,,,,,,,,,,,,,,5.01542,,,,,,httpwwwblijburgnl,,,,,do,,,,,,,,Local,,,,,,,,,,,,,,,,,,
1,Piet Heinkade,,,,Muziekgebouw aant IJ,,,Modern music concerts and classical music with a twist A free concert is given every second Tuesday of the month at 1230,52.37827,,X   X X X   X yes 2234 limited 983 no 881,,,yes,,433 Grand Café,,1019BR,Piet Heinkade 1,,,,,,,,,4.9131,yes,MSa 12001800,,,,httpwwwmuziekgebouwnlinformatieenglish,,,,WeSu 16000000,do,31 20 788 2090,restaurant,,€20,httpswww433grandcafenl,,,Entertainment,,,,,,,This activity would fall under the medium price range category,,,,,,,,,,,
68,Eerste Van Swindenstraat,,,,Dappermarkt,,,In the east behind the zoo and was voted best market in the Netherlands,52.36258,,X X X X,,,,,Pita Queen,,,Dapperstraat,,,,pita,,,,,4.92753,,MSa 09001700,,,,,,,,,buy,31 20 6947495,restaurant,,,httpswwwpitaqueennl,,,,,,,,,,,,,,,,,,,,,
128,Krijn Taconiskade,,,,Bijtij,,,Boutique,52.35272,,X X X,,,,,Tjikky  KO,,,Krijn Taconiskade 126,,,,,,clothes,,,5.00357,,,,,,,,,,WeSu 12001700,buy,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,IJburglaan,,,,Bliksem en Sterren,,,For kidss clothing,52.35524,,X X X,,,,,Bliksem  Sterren,,1087GJ,IJburglaan 1153,,,,,,clothes,,,4.99573,,TuF 09001730 Sa 10001700,,,,httpwwwbliksemensterrencom,,,,TuFr 09001730 Sa 10001700,buy,31 20 4166617,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Design020,,,shops for furniture etc,52.36227,,X  X X X X yes 2234 limited 983 no 881,,,yes,,Design020,,,Pedro de Medinalaan 89,,,,,,mall,,,4.9756,,TuSa 10001800,,,,,,,,Mo off TuSa 10001800 Su 12001700,buy,,,,,httpsdesign020nl,,,,,,,,,,,,,,,,,,,,,
1273,IJburglaan,,,,Flo 4 Kidz,,,For kidss clothing,52.35514,,X X X   X yes 2234 limited 983 no 881,,,limited,,Flo 4 Kidz,,1087GJ,IJburglaan 12731275,,,,,,clothes,,,4.99594,,Tu 12001730 WSa 10001730,,,,httpflo4kidznlFlo4Kidzhtml,,,,Tu 12001730 WeSa 10001730,buy,31 20 6625007,,,,httpwwwflo4kidznl,,,,,,,,,,,,,,,,,,,,,
1277,IJburglaan,,,,Frontrow,,,Boutique,52.35503,,X X X  X   X yes 2234 limited 983 no 881,,,limited,,The New Classic,,1087GJ,IJburglaan 1277,,,,,,clothes,,,4.99616,,,,,,,,,,TuFr 11001730 Sa 11001700,buy,31 6 11202978,,,,httpswwwthenewclassicnl,,,,,,,,,,,,,,,,,,,,,
1277,IJburglaan,,,,Ien Lifestyleshop,,,Boutique,52.35513,,X X X  X   X yes 2234 limited 983 no 881,,,limited,,The New Classic,,1087GJ,Diemerparklaan 52,,,,,,clothes,,,4.99597,,,,,,,,,,TuFr 11001730 Sa 11001700,buy,31 6 11202978,,,,httpswwwthenewclassicnl,,,,,,,,,,,,,,,,,,,,,
1281,IJburglaan,,,,IJgenwijs,,,Nice shop for presents and home decoration It is about to close,52.35489,,X X   yes 2234 limited 983 no 881,,,limited,,Smartphone Repair,,1087GJ,IJburglaan 1285,,,,,,electronics,,,4.99645,,,,,,,,,,,buy,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,IJburglaan,,,,Sevenlands,,,Boutique,52.35349,,X   X X X X    X,,,,,Coffee and Kids,,1087JJ,IJburglaan 1359,,,,coffeeshop,,,,,4.9991,,,,,,,,,,MoFr 08301700 Sa 09001400,buy,31 6 41204909,cafe,,,httpswwwcoffeeandkidsnl,,,,,,,,,,,,,,,,,,,,,
1501,IJburglaan,,,,SUBURB Denim,,,Boutique,52.35126,,X   X X    X yes 2234 limited 983 no 881,,,limited,,Sunny Side,,1087KM,IJburglaan 1499,,,,,,,,,5.00325,,,,,,,,,,TuSu 11002100,buy,31 6 84316939,restaurant,,,httpswwwsunnysideijburgnl,,,,,,,,,,,,,,,,,,,,,
128,Krijn Taconiskade,,,,TjikkyKo,,,For kidss clothing,52.35267,,X X X,,,,,Tjikky  KO,,,Krijn Taconiskade 128P,,,,,,clothes,,,5.00367,,,,,,,,,,WeSu 12001700,buy,,,,,,,,,,,,,,,,,,,,,,,,,,
835,IJburglaan,,,,Boerenjongens Eetwinkel,,,A deli shop annex lunch room with products from the region,52.35667,,X X,,,,,Brouwer Makelaars,,1087CL,Talbotstraat 3,,,,,,estateagent,,,4.99327,,,,,,,,,,,eat,31 20 4167059,,,,,Lunch,No,,,,,,,Casual,,,,,,,,,,,,
39,Pampuslaan,,,,IJsburg,,,Ice cream shop,52.35225,,X X,,,,,Midnight IJburg,,1087HP,Pampuslaan 41,,,,,,convenience,,,5.007687,,,,,,,,,,,eat,,,,,,,No,,,,,,,Casual,,,,,,,,,,,,
1501,IJburglaan,,,,De Keuken van Tante Til,,,Mediterranean deli annex restaurant,52.35149,,X   X X    X yes 2234 limited 983 no 881,,,limited,,Sunny Side,,1087KM,IJburglaan 1501,,,,,,,,,5.00279,,,,,,httpwwwdekeukenvantantetilnl,,,,TuSu 11002100,eat,31 6 84316939,restaurant,,Mains €1015,httpswwwsunnysideijburgnl,Lunch,No,,,,,,,Casual,Cheap,,,,,,,,,,,
1,Eerste Van Swindenstraat,,,,Biertuin,,,Oktoberfeststyle biergarten so expect long tables and a wide variety of bottled beers available It has a nice atmosphere during warm summer evenings Try the Hamburger Deluxe or chicken menus And come early as it is often crowded Reservations cannot be made but you can wait outside with a beer until seating is available,52.3623,,X X   X,,,,,Baldev,,1093ES,Linnaeusstraat 29,,,,,,jewelry,,,4.92416,,Su Th 11000100 F Sa 11000300,,,,httpwwwdebiertuinnl,,,,,eat,31 20 6650956,,,€1520,httpsbaldevnl,Dinner,3 star,,,,,,,Casual,Based on the price range of around €1520 for a meal I would categorize this place as medium,,,,,,,,,,,
1289,IJburglaan,,,,Bloem op IJburg,,,Italian restaurant,52.35446,,X   X X X X    yes 368 no 41 only 25 X yes 2234 limited 983 no 881,,,limited,,Bloem op IJburg,,1087GJ,IJburglaan 1289,,,yes,italian,,,,,4.99714,,17302200 daily,,,,httpwwwbloemopijburgnl,,,,TuSa 17302130,eat,31 20 416 0677,restaurant,,€1520,httpswwwbloemopijburgnl,Dinner,No,,,,,,,Romantic,Based on the price range of €1520 for a meal this place would be categorized as medium,,,,,,,,,,,
,,,,,De Ponteneur,,,An inexpensive barrestaurant with great food and atmosphere All food served is fresh and homemade Free WiFi available Excellent bang for the buck and suited for only a drink as well No English menu some waiters speak English,52.36343,,X X,,,,,Ludwig,,,Eerste van Swindenstraat 581,,,,,,,,,4.93032,,MTh 09000100 F Sa 09000200 Su 10000100,,,,httpwwwponteneurnl,,,,,eat,31 20 6680680,cafe,,Mains €1520,,Dinner,No,,,,,,,Casual,This place would be categorized as mediumpriced,,,,,,,,,,,
,,,,,Aan de Amstel,,,This small but cosy place is run by popular Dutch cooking book author and illustrator Yvette van Boven It serves home made comfy food with a Mediterranean touch Its a table dhotestyle restaurant with a small menu and a fixed price for 3 or 4 course meals,52.35586,,X X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1,,,,,Athene,,,Weesperzijde 42a,,,,greek,,,,,4.90742,,TuSa 16002200,,,,httpwwwaandeamstelnl,,,,,eat,31 206080077,restaurant,,3550 for 3 courses,,Dinner,3 star,,,,,,,Intimate,This meal would be considered as mediumpriced,,,,,,,,,,outdoor,
11,Piet Heinkade,,,,Silk Road Restaurant,,Mövenpick,Eastern and Western fusion meals with both à la carte and on high occupied days o­nly a live cooking theme buffet The restaurant has a view o­n the river IJ Open 7 days per week for lunch and dinner,52.37799,enMövenpick Hotels  Resorts,X   X X     X yes 2234 limited 983 no 881,,,yes,,Mövenpick Hotel,,1019BR,2F Mövenpick Hotel Piet Heinkade 11,,,,,,,,,4.91377,,,,,,httpwwwsilkroadnl,,,,,eat,31 20 519 1200,hotel,,€2540,httpwwwmoevenpickhotelscom,Lunch,No,,,,,,,Chic,Based on the price range of €2540 this place would be categorized as mediumpriced,,,,,,,,,,,
,,,,,Blijburg aan Zee,,,,52.3499,,X X  X X,,,,,,,,Muiderlaan 1001,,,,,,,,,5.01459,,MTh 11000100 F Su 10000100 Sa 10000200,,,,httpwwwblijburgnl,,,,,drink,31 20 4160330,,,,,,,,,,,Wine,Classical,Romantic,,,,,,,,,,,,
